claim_id	source	line_range	claim_type	claim_text	normalized_requirement	superseded_by	implementation	production_caller	tests	failure_path	rules	status	confidence	notes
L15-DEAD-01	docs/v15.x/dead-pushkinds.md	7-17	completion	Five PushKind variants were deleted after call-chain audit	Deleted variants and related render/adapter code must be absent; same-named CandidateSource remains		`notify.rs` lacks the five variants; dead-push archive matches committed removals	N/A	compile coverage; no dedicated exhaustive call-chain artifact	git revert documented	2.10	verified_complete	high	Fixed-SHA code supports the five deletions.
L15-DEAD-02	docs/v15.x/dead-pushkinds.md	19-31	decision	Listed live/spec-target variants must be retained	Do not delete active or reserved variants		All listed retained variants remain in `notify.rs`; live T14/T15/ST/ETF callers remain in `main.rs`	`main.rs` dispatch chains for CandidateTriggered, VirtualWatch, T14/T15/ST/ETF	numerous template tests; no single exhaustive table test	retention avoids severing live pushes	2.1,2.10	verified_complete	high	CandidateInvalidated remains half-dead as documented.
L15-DEAD-03	docs/v15.x/dead-pushkinds.md	33-36	completion	PushKind count is 52 and DISPATCH_TABLE has 13 rows	Counts at HEAD must match		`notify.rs` enum has 52 variants; table retains 13 audit rows	metadata is read in `push_governor_inner`	count-oriented tests are indirect	startup has no fail-fast count assertion	2.10	verified_complete	medium	Static enumeration confirms the stated totals.
L15-PM-01	docs/v15.x/post-mortem-v15.1.1.md	10-25	bug	Gray default silently blocked non-critical production pushes	Default launch stage must not silently suppress normal pushes		`current_stage()` defaults Shadow; `should_push_user(Shadow,..)=true`	all governor paths call `launch_gate_check`	`test_current_stage_default_shadow`; stage matrix tests	invalid STAGE warns then Shadow		verified_complete	high	Root behavior was reverted.
L15-PM-02	docs/v15.x/post-mortem-v15.1.1.md	36-41	requirement	Defaults audible; BREAKING changes reversible; defaults tested; every skip warns	All four post-mortem rules must hold		Default and tests exist; per-skip launch-gate denial returns without warn	`notify.rs:970-972,1071-1077`	default-stage tests exist; no assertion for every denied push warning	Denied path is silent at decision point	2.8	partial	high	Rule 4 remains unmet.
L15-PM-03	docs/v15.x/post-mortem-v15.1.1.md	57-63	acceptance	Contributor checklist including live deployment validation	Commit evidence must include default tests and production behavior validation		Static module evidence only	production path exists	unit tests only	no committed deployment/live-output artifact		unverifiable	high	Checklist remains unchecked.
L15-D1-01	docs/v15.x/v15.3-phase-d-expansion.md	91-109	feature	NewsFeed trait and NewsAggregator	Provide aggregator module, tests and registration		`src/news/aggregator/{mod,feed}.rs`	initialized in monitor and ticked in news loop	module tests	feed failures warn and continue	2.1,2.2	verified_complete	high	Core aggregator exists.
L15-D1-02	docs/v15.x/v15.3-phase-d-expansion.md	111-148	feature	Real flash, policy, announcement, earnings, consensus, market-action and analyst feeds	All named feeds must fetch their target source, not return empty placeholders		8 HTTP wrappers and announcement feed are real; GovCn, MIIT, earnings, consensus, market-action and analyst feeds return empty vectors	all 15 are registered in monitor	mostly unit shape tests; placeholders not live-source tested	placeholders silently yield no events	2.1,2.2,2.8	partial	high	Production registers six empty implementations.
L15-D1-03	docs/v15.x/v15.3-phase-d-expansion.md	150-155	integration	30-second aggregator loop in monitor	Aggregator must run in production		Global aggregator is initialized and ticked inside `news_monitor_loop`, whose cadence is existing loop rather than a dedicated 30s task	`main.rs:7185-7199`	NewsFlashGate tests; no live cadence proof	uninitialized global warns and returns empty	2.4	partial	medium	Functional integration exists but design shape changed.
L15-D2-01	docs/v15.x/v15.3-phase-d-expansion.md	159-185	feature	Four-class event extraction and public single-item API	Add event classes, classifier schema and extract_news API		MarketEvent types were extended in v15 commits; exact `extract_news` API is absent	No production single-item API caller	classifier/event-extractor tests	parse errors are surfaced/filtered	2.2	partial	medium	Implemented with different API and later pipeline.
L15-D3-01	docs/v15.x/v15.3-phase-d-expansion.md	189-210	feature	Stock mapping and weighted relation types	Map earnings, account actions, industry consensus and source weights		`src/news/stock_mapper.rs` implements relations and mappings	used by removed v15 pipeline; current NewsFlashGate bypasses mapper	unit tests in stock_mapper	missing mappings yield empty candidates	2.2	partial	high	Module exists but current production consumer is absent.
L15-D4-01	docs/v15.x/v15.3-phase-d-expansion.md	214-241	feature	Impact score, multi-source resonance and direction	Compute NewsImpact, source_count dedup and direction		`src/news/impact.rs` implements formula and tests	current production NewsFlashGate consumes MarketEvent directly, not NewsImpact	impact unit tests	bad/missing event fields mostly default via MarketEvent	2.2,2.3	partial	high	Code without current production call.
L15-D5-01	docs/v15.x/v15.3-phase-d-expansion.md	245-268	feature	Five PushKind variants and v14 mapping	Variants must have metadata and adapter arms		PolicyHit/EarningsBeat/EarningsMiss/AnalystUpgrade/MarketActionAlert exist with adapter mappings	No production callers for these five	metadata tests	unused targets only emit audit if somehow called	2.8	partial	high	Definition complete, capability not wired.
L15-D6-01	docs/v15.x/v15.3-phase-d-expansion.md	272-287	integration	Impact dispatcher and full aggregator→extractor→mapper→impact→push pipeline	Production must execute the complete chain and live-test it	v17.4 NewsFlashGate	`news::dispatcher` exists; v15 `news_pipeline_loop` was removed; current path aggregator→NewsFlashGate	monitor calls NewsFlashGate only	dispatcher unit tests and gate tests; no full intended-chain live evidence	feed failures become fewer/zero events	2.1,2.2,2.8	partial	high	Later architecture superseded only the final gate, not mapper/impact semantics.
L15-SUM-01	docs/v15.x/v15.3-phase-d-expansion.md	312-345	completion	Phase D was pending and would create five-source fusion	Do not claim fusion until all sources and full pipeline are live		Several modules landed, but empty feeds and bypassed mapper/impact remain	partial production integration	mixed module tests	no full live verification	2.1,2.8	partial	high	Still not complete at fixed SHA.
