# domain=stock_analysis.br180.whole_application_legacy_catalog.v1; business-rule=BR-180
# design=docs/superpowers/specs/2026-07-28-selection-release-closure-amendment-design.md sections 3 and 4.1
# frozen-shape=53 tables + 44 explicit indexes + 63 triggers
# columns=kind|name|tbl_name|ddl_id (source_line is the real non-normalized fixture line)
table|account_mode_log|account_mode_log|legacy-v1.table.account_mode_log
table|agent_scratchpad|agent_scratchpad|legacy-v1.table.agent_scratchpad
table|analysis_result|analysis_result|legacy-v1.table.analysis_result
table|board_rotation_daily|board_rotation_daily|legacy-v1.table.board_rotation_daily
table|chain_daily|chain_daily|legacy-v1.table.chain_daily
table|chain_intelligence_batches|chain_intelligence_batches|legacy-v1.table.chain_intelligence_batches
table|chain_intelligence_chains|chain_intelligence_chains|legacy-v1.table.chain_intelligence_chains
table|chain_intelligence_input_evidence|chain_intelligence_input_evidence|legacy-v1.table.chain_intelligence_input_evidence
table|chain_intelligence_members|chain_intelligence_members|legacy-v1.table.chain_intelligence_members
table|chain_intelligence_rejections|chain_intelligence_rejections|legacy-v1.table.chain_intelligence_rejections
table|chain_intelligence_visibility_receipts|chain_intelligence_visibility_receipts|legacy-v1.table.chain_intelligence_visibility_receipts
table|closing_valuation_item|closing_valuation_item|legacy-v1.table.closing_valuation_item
table|closing_valuation_run|closing_valuation_run|legacy-v1.table.closing_valuation_run
table|concept_cooccurrence|concept_cooccurrence|legacy-v1.table.concept_cooccurrence
table|daily_change_confirmation|daily_change_confirmation|legacy-v1.table.daily_change_confirmation
table|daily_change_confirmation_chain|daily_change_confirmation_chain|legacy-v1.table.daily_change_confirmation_chain
table|data_acquisition_audit|data_acquisition_audit|legacy-v1.table.data_acquisition_audit
table|data_acquisition_audit_chain|data_acquisition_audit_chain|legacy-v1.table.data_acquisition_audit_chain
table|event_seen_simhash|event_seen_simhash|legacy-v1.table.event_seen_simhash
table|execution_tracking|execution_tracking|legacy-v1.table.execution_tracking
table|factor_snapshot|factor_snapshot|legacy-v1.table.factor_snapshot
table|ledger|ledger|legacy-v1.table.ledger
table|lhb_daily|lhb_daily|legacy-v1.table.lhb_daily
table|news_ai_assessment|news_ai_assessment|legacy-v1.table.news_ai_assessment
table|news_ai_assessment_chain|news_ai_assessment_chain|legacy-v1.table.news_ai_assessment_chain
table|news_dedup|news_dedup|legacy-v1.table.news_dedup
table|news_items|news_items|legacy-v1.table.news_items
table|order_audit|order_audit|legacy-v1.table.order_audit
table|order_audit_chain|order_audit_chain|legacy-v1.table.order_audit_chain
table|order_idempotency|order_idempotency|legacy-v1.table.order_idempotency
table|paper_performance_snapshot|paper_performance_snapshot|legacy-v1.table.paper_performance_snapshot
table|paper_trades|paper_trades|legacy-v1.table.paper_trades
table|position_adjustments|position_adjustments|legacy-v1.table.position_adjustments
table|position_chain_assignment|position_chain_assignment|legacy-v1.table.position_chain_assignment
table|prediction_tracker|prediction_tracker|legacy-v1.table.prediction_tracker
table|pushed_stocks|pushed_stocks|legacy-v1.table.pushed_stocks
table|real_account_snapshot|real_account_snapshot|legacy-v1.table.real_account_snapshot
table|selection_candidates|selection_candidates|legacy-v1.table.selection_candidates
table|selection_event_completions|selection_event_completions|legacy-v1.table.selection_event_completions
table|selection_event_inbox|selection_event_inbox|legacy-v1.table.selection_event_inbox
table|selection_feature_snapshots|selection_feature_snapshots|legacy-v1.table.selection_feature_snapshots
table|selection_outcomes|selection_outcomes|legacy-v1.table.selection_outcomes
table|selection_runs|selection_runs|legacy-v1.table.selection_runs
table|selection_visibility_receipts|selection_visibility_receipts|legacy-v1.table.selection_visibility_receipts
table|signal_state|signal_state|legacy-v1.table.signal_state
table|stock_concepts|stock_concepts|legacy-v1.table.stock_concepts
table|stock_daily|stock_daily|legacy-v1.table.stock_daily
table|stock_position|stock_position|legacy-v1.table.stock_position
table|topic_novelty_history|topic_novelty_history|legacy-v1.table.topic_novelty_history
table|trades|trades|legacy-v1.table.trades
table|user_account_summary|user_account_summary|legacy-v1.table.user_account_summary
table|user_position_snapshot|user_position_snapshot|legacy-v1.table.user_position_snapshot
table|user_position_snapshot_item|user_position_snapshot_item|legacy-v1.table.user_position_snapshot_item
index|idx_account_mode_log_new_mode|account_mode_log|legacy-v1.index.idx_account_mode_log_new_mode
