claim_id	source	line_range	claim_type	claim_text	normalized_requirement	superseded_by	implementation	production_caller	tests	failure_path	rules	status	confidence	notes
E000001	docs/_archive/pre-v9-history/README.md	5	acceptance	> **恢复方式**: 通过 `git log --follow docs/_archive/pre-v9-history/ ` 可定位原始路径，git 100% 可恢复	> **恢复方式**: 通过 `git log --follow docs/_archive/pre-v9-history/ ` 可定位原始路径，git 100% 可恢复		src/bin/monitor/main.rs:7566;src/bin/monitor/main.rs:7570;src/bin/monitor/push_templates.rs:5127;src/data_provider/baostock_provider.rs:110	src/bin/monitor/main.rs:7566;src/bin/monitor/main.rs:7570;src/bin/monitor/push_templates.rs:5127	src/bin/monitor/main.rs:7566;src/bin/monitor/main.rs:7570;src/bin/monitor/push_templates.rs:5127;src/data_provider/baostock_provider.rs:110			unverifiable	medium	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof; conservative_demote:absence is not contradiction
E000002	docs/_archive/pre-v9-history/README.md	8	feature	> **⚠️ 路径说明**: 本 README 文件索引表里的"原路径"列（如 `docs/architecture/architecture-v2-...md`）是 **历史记录**，不是当前可点击的链接。这些路径在 BR-029 整理中已被删除或迁移；当前路径就是本目录下的同名文件。	> **⚠️ 路径说明**: 本 README 文件索引表里的"原路径"列（如 `docs/architecture/architecture-v2-...md`）是 **历史记录**，不是当前可点击的链接。这些路径在 BR-029 整理中已被删除或迁移；当前路径就是本目录下的同名文件。	> **⚠️ 路径说明**: 本 README 文件索引表里的"原路径"列（如 `docs/architecture/architecture-v2-...md`）是 **历史记录**，不是当前可点击的链接。这些路径在 BR-029 整理中已被删除或迁移；当前路径就是本目录下的同名文件。	src/bin/monitor/main.rs:2629;src/bin/monitor/push_templates.rs:4;src/auth/operator.rs:6	src/bin/monitor/main.rs:2629;src/bin/monitor/push_templates.rs:4	src/bin/monitor/main.rs:2629;src/bin/monitor/push_templates.rs:4;src/auth/operator.rs:6		2.10	superseded	medium	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000003	docs/_archive/pre-v9-history/README.md	50	feature	| v4 决策引擎 | v9.0 P0 风控统一 |	| v4 决策引擎 | v9.0 P0 风控统一 |		candidate:src/risk/veto_chain.rs,src/risk/action_gate.rs,src/trading/risk_adapter.rs					unverifiable	low	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000004	docs/_archive/pre-v9-history/README.md	52	feature	| v5.1 选股推荐 | v11 P0-5 候选筛选 → v12 Trading Assistant |	| v5.1 选股推荐 | v11 P0-5 候选筛选 → v12 Trading Assistant |		candidate:src/opportunity/candidate_panel.rs,src/bin/monitor/main.rs					unverifiable	low	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000005	docs/_archive/pre-v9-history/README.md	53	acceptance	| v6 Breakout Engine | v9.1 event_extractor（spec §8 验收）|	| v6 Breakout Engine | v9.1 event_extractor（spec §8 验收）|		src/news/mod.rs:9;src/opportunity/event_extractor/mod.rs:229		src/opportunity/event_extractor/mod.rs:229;src/opportunity/event_extractor/mod.rs:271		2.9	partial	medium	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000006	docs/_archive/pre-v9-history/README.md	54	bug	| v7 孤儿模块接线 | v9.4 流程纪律 R-8 假实现禁令 |	| v7 孤儿模块接线 | v9.4 流程纪律 R-8 假实现禁令 |						2.8	unresolved	medium	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000007	docs/_archive/pre-v9-history/architecture-overview-2026-06-16.md	133	completion_claim	> ⚠️ **状态标注（v7 校正）**：本节区分「✅ 已接入运行」与「🟡 已实现·未接入」。	> ⚠️ **状态标注（v7 校正）**：本节区分「✅ 已接入运行」与「🟡 已实现·未接入」。							unverifiable	high	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof; conservative_demote:absence is not contradiction
E000008	docs/_archive/pre-v9-history/architecture-overview-2026-06-16.md	138	completion_claim	✅ exclusion::scan_exclusions() [run_full_test 连通性自检中调用]	✅ exclusion::scan_exclusions() [run_full_test 连通性自检中调用]		src/bin/monitor/main.rs:3007;src/decision/exclusion.rs:149	src/bin/monitor/main.rs:3007	src/bin/monitor/main.rs:3007;src/decision/exclusion.rs:149			unverifiable	medium	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof; conservative_demote:absence is not contradiction
E000009	docs/_archive/pre-v9-history/architecture-overview-2026-06-16.md	141	completion_claim	✅ sector_score::grade_sectors() [run_full_test 中调用]	✅ sector_score::grade_sectors() [run_full_test 中调用]		src/bin/monitor/main.rs:3089;src/bin/monitor/main.rs:3091;src/bin/monitor/main.rs:10037;candidate:src/market_analyzer/sector_monitor.rs,src/decision/sector_score.rs	src/bin/monitor/main.rs:3089;src/bin/monitor/main.rs:3091;src/bin/monitor/main.rs:10037	src/bin/monitor/main.rs:3089;src/bin/monitor/main.rs:3091;src/bin/monitor/main.rs:10037			unverifiable	medium	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof; conservative_demote:absence is not contradiction
E000010	docs/_archive/pre-v9-history/architecture-overview-2026-06-16.md	146	completion_claim	✅ run_stock_screener() → breakout::screen_intraday() [v7 接入]	✅ run_stock_screener() → breakout::screen_intraday() [v7 接入]		src/bin/monitor/main.rs:9629;src/bin/monitor/main.rs:10528;src/bin/monitor/main.rs:10530;src/bin/monitor/main.rs:10686	src/bin/monitor/main.rs:9629;src/bin/monitor/main.rs:10528;src/bin/monitor/main.rs:10530;src/bin/monitor/main.rs:10686	src/bin/monitor/main.rs:9629;src/bin/monitor/main.rs:10528;src/bin/monitor/main.rs:10530;src/bin/monitor/main.rs:10686			unverifiable	medium	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof; conservative_demote:absence is not contradiction
