finding_id	rule	severity	path	line_range	description	evidence	production_impact	test_evidence	status	confidence	notes
STD-001	Gate A / Pre-flight	BLOCKER	docs/ENGINEERING_RULES_V2.md	missing	Required pre-flight document is absent from the fixed commit.	git cat-file -e returned missing; AGENTS Step 0 mandates reading it before any change.	Gate A cannot be evidenced; later completion claims are procedurally invalid.	No CI assertion for required pre-flight documents.	open	high	Fixed commit evidence only.
STD-002	Gate A / Pre-flight	BLOCKER	.github/copilot-instructions.md	missing	Required repository instruction file is absent from the fixed commit.	git cat-file -e returned missing; AGENTS Step 0 names this file explicitly.	Gate A cannot be completed as written.	No CI assertion for required pre-flight documents.	open	high	Fixed commit evidence only.
STD-003	Gate B / formatting	BLOCKER	src/bin/monitor/main.rs	1-12200	The fixed commit fails cargo fmt --check across production files.	Clean git archive execution exited FMT_EXIT=1 and emitted extensive diffs including main.rs, push_templates.rs, trading modules and other scoped files.	Implementation gate is not ready; release evidence cannot be valid.	cargo fmt --check on clean archive: exit 1.	open	high	Bench diffs also existed, but this row is grounded in scoped production files.
STD-004	Gate B / clippy	BLOCKER	src/monitor/data_mode.rs	191	The fixed commit fails cargo clippy --all-targets --all-features -- -D warnings.	Clean archive execution ended with 335 errors, including redundant field names, unused imports, unreachable patterns, deprecated APIs, dead code and test warnings.	Mandatory implementation gate is failed; warnings can hide real defects in live trading code.	cargo clippy --all-targets --all-features -- -D warnings: CLIPPY_EXIT=101, 335 errors.	open	high	Representative first production error shown; aggregate is a single mandatory-gate failure.
STD-005	Gate C / compliance	BLOCKER	tools/compliance/check.sh	44-57	The mandatory compliance entrypoint calls two scripts that do not exist in the fixed commit.	Lines 48-49 invoke check_no_silent_fallback_push.sh and check_no_silent_fallback_global.sh; run_check marks either missing script as OVERALL_EXIT=1.	Gate C deterministically fails on a clean checkout.	bash tools/compliance/check.sh on clean archive: COMPLIANCE_EXIT=1 with both missing-script errors.	open	high	The trailing || true does not reset OVERALL_EXIT.
STD-006	Gate D / coverage	BLOCKER	.github/workflows/coverage.yml	28-41	Coverage gate enforces 60%, not AGENTS-required 80% global and 95% core, and excludes major production paths.	Workflow uses --fail-under 60 and ignores src/bin/*, src/agent/* and sector_monitor.rs.	Critical trading/data links can merge far below required coverage or with no coverage at all.	Workflow comments acknowledge targets but executable command enforces only 60%.	open	high	Direct executable-policy mismatch.
STD-007	Gate B / CI	HIGH	.github/workflows/ci.yml	21-25	Primary CI omits cargo fmt --check, clippy -D warnings and full cargo test.	It runs cargo build and cargo test --lib only.	Non-library binaries and integration tests can be broken while CI remains green.	Clean archive independently fails fmt/clippy; workflow would not catch either.	open	high	AGENTS Step 2 requires all three commands.
STD-008	PR evidence	HIGH	.github/workflows/compliance.yml	37-47	PR evidence gate checks only that any commit message contains one Refs token, not the mandatory PR fields.	No enforcement exists here for Data-Redlines, OldModules, Threshold-Proof, Business-Rules or Rollback.	PRs can be declared merge-ready without required traceability and rollback evidence.	Workflow shell condition only greps git log for Refs.	open	high	AGENTS §3.1 requires all fields in PR description.
STD-009	2.4 freshness	BLOCKER	tools/compliance/lib/check_data_freshness.sh	21-31	Freshness gate exits success when the production database is absent or sqlite3 is unavailable.	Both cases print SKIP and exit 0.	A missing/unreadable data source can pass the strict merge blocker instead of failing explicitly.	tests/test_data_freshness_check.rs:28-35 codifies missing DB as success.	open	high	Contradicts AGENTS §2.4.1 strict merge blocker.
STD-010	2.4 freshness	HIGH	tools/compliance/lib/check_data_freshness.sh	40-76	Freshness calculation uses calendar-day subtraction, not trading days with holiday exclusion.	Python computes raw date difference and line 68 compares >1; there is no exchange calendar.	Valid holiday/weekend data may fail and stale holiday-adjacent data may be misclassified.	No holiday/weekend boundary test in the scoped freshness test.	open	high	Comment claims trading days but implementation is calendar days.
STD-011	2.8 fake implementation	BLOCKER	tools/compliance/lib/check_fake_impl.sh	26-45	Fake-implementation gate checks one narrow regex and mere existence of one test file.	It only searches update_.*result.*0.0.*false and never examines verify/save/notify/push/sync/reconcile log-only bodies.	Known log-only push implementations pass this checker.	Clean compliance run printed check_fake_impl PASS despite src/broker.rs log-only push methods.	open	high	Direct false-negative demonstrated.
STD-012	2.10 business rules	HIGH	tools/compliance/lib/check_business_rules.sh	89-121	Existing-file BR omissions and registered PENDING rules are warnings, not blockers.	Lines 104-108 fail only new files; lines 113-120 warn for PENDING entries.	Undocumented or explicitly unimplemented business rules can pass Gate C.	Registry contains numerous 待实现 entries; checker design labels them WARN.	open	high	Contradicts MUST/blocking language.
STD-013	2.9 design contradiction	HIGH	tools/compliance/lib/check_design_contradiction.sh	26-87	Design-contradiction gate silently passes missing configuration and checks only one threshold/clamp relationship.	Missing event_risk_score_threshold exits 0; all other config/code thresholds are outside its model.	Threshold drift outside one event-risk field can merge undetected.	Existing tests exercise this narrow script rather than global config/spec linkage.	open	high	AGENTS §2.9 also requires bidirectional spec/config references.
STD-014	2.10 business rules	HIGH	tools/compliance/lib/check_business_rules.sh	22-24	Checker validates a different registry from the canonical docs/business_rules.md required by AGENTS.	RULES_FILE defaults to docs/业务规则清单-registry.md.	Changes to the mandated canonical business-rules file can be ignored by Gate C.	No test asserts canonical-path enforcement.	open	high	Both files exist and contain divergent representations.
STD-015	2.1 data source	CRITICAL	src/broker.rs	92-132	Production quote-provider default is an explicit mock returning price 0 and empty sector.	MockQuoteProvider returns 0.0/empty; ensure_default_quote_provider registers it when no provider exists.	Trading and scoring paths can use fabricated missing values instead of explicit source errors.	Tests only assert mock/noop behavior; monitor startup calls ensure_default_quote_provider.	open	high	The production abstraction returns bare f64/String so errors cannot propagate.
STD-016	2.8 fake implementation	CRITICAL	src/broker.rs	139-198	Broker push implementations named push_st_type/push_quote only log and do not operate on a target data source.	QmtBroker, PublicDataBroker and NoopBroker bodies contain only log calls.	Operators may believe broker data was pushed although no state or external source changed.	test_noop_broker_does_not_panic validates non-operation rather than target effects.	open	high	Exact function names are covered by AGENTS §2.8.
STD-017	2.1 data source	CRITICAL	src/broker/ib.rs	41-60	IB broker placeholder returns 0.0 price and empty sector instead of an explicit unavailable-source error.	Comments state real production call is simplified away; fetch_price returns 0.0 and get_sector returns empty.	Any caller can treat absent IB connectivity as numeric market data.	Unit tests assert zero and empty are expected.	open	high	Production module is not cfg(test)-gated.
STD-018	2.4 / 2.8 health	CRITICAL	src/bin/monitor/health.rs	15-74	Health check reports success using mocked checks and excludes quote-provider failure from all_ok.	Bus check only obtains singletons; perf and quote checks return true; all_ok ignores quote_provider.	Live system can advertise healthy while no quotes or recent performance data exist.	health_status_all_ok_with_quote_warn explicitly asserts all_ok when quote_provider=false.	open	high	Health signal is operationally misleading.
STD-019	2.1 source failure	HIGH	src/news/aggregator/feed.rs	69-166	Multiple real news feed adapters downgrade source errors to successful empty vectors.	Jin10, WallStreetCN, CLS, Weibo, Gelonghui, KCB and GovPolicy call await.unwrap_or_default then return Ok.	Outages are indistinguishable from no news and suppress trading catalysts silently.	No failure-propagation test for these wrappers.	open	high	One shared anti-pattern across seven concrete adapters.
STD-020	2.1 / 2.8 fake feeds	HIGH	src/news/aggregator/feed.rs	170-281	Six registered news feeds are skeletons that always return Ok(empty).	GovCn, MIIT, EarningsCalendar, Consensus, MarketAction and AnalystViews return empty; initialization registers them.	Production source inventory overstates coverage and silently loses policy/earnings/action/view events.	news_aggregator_init test only checks Vec type/count, not real events.	open	high	EmAnnouncement separately swallows errors at line 205.
STD-021	CLAUDE Completion Rule	HIGH	src/bin/monitor/news_aggregator_init.rs	117-145	NewsAggregator production tick stops at logging/counting and has no real ranker/outcome/catalyst consumer.	Comments explicitly say later integration and future rank_events.	Module existence and tests do not constitute live feature integration.	tick test has no assertion on downstream side effects.	open	high	Violates Completion Rule production-consumer requirement.
STD-022	2.8 / Completion Rule	CRITICAL	src/bin/monitor/push_templates.rs	3412-3520	Live T-14/T-15 trade pipeline is a stub that always returns no events while scheduled dispatchers call it.	fetch_pending_trade_events returns Vec::new; main.rs schedules dispatch_trade_pipeline_orders at 10139.	Order/fill notifications never occur despite a live scheduled path.	--test template coverage treats skipped dispatchers as acceptable.	open	high	Documented as stub in production source.
STD-023	2.6 order safety	CRITICAL	src/opportunity/auction_agent.rs	27-38	Required pre-save veto always returns true.	veto_check_auction_anomaly warns STUB and unconditionally true; caller relies on it before save_prediction.	Auction anomalies bypass promised risk rules BR-005/006/008.	No test proves a real veto can deny.	open	high	Code comment itself says actual veto is future work.
STD-024	2.9 / Completion Rule	HIGH	src/opportunity/launch_gate.rs	138-198	Launch-gate metric computation hardcodes Calmar ratio to 0.0 because it is unimplemented.	Shadow-to-Gray requires calmar_ratio >=1.0, making DB-derived transition impossible.	Rollout state machine cannot reach its documented transition from real DB metrics.	Transition tests inject synthetic Calmar values and do not test metrics_from_db reaching Gray.	open	high	A required metric is permanently disconnected.
STD-025	2.10 BR-005 limit	CRITICAL	src/bin/monitor/v14_adapter.rs	410-418	Daily push-limit input is hardcoded to zero, making the governance deny branch unreachable.	today_pushed_count: 0 with TODO for store wiring.	Daily push count cannot enforce the registered cap.	tests/ranking.rs explicitly says the daily <=5 limit is not implemented.	open	high	Concrete live governance bypass.
STD-026	2.10 BR-005 test evidence	HIGH	tests/ranking.rs	140-160	The purported BR-005 test is a placeholder that asserts the feature is not implemented.	limit_implemented=false followed by assert!(!limit_implemented).	Green tests can be cited while the business rule remains absent.	Test name includes NOT_IMPLEMENTED_placeholder.	open	high	Direct self-admission.
STD-027	2.6 order safety	CRITICAL	src/trading/mod.rs	158-243	Simulated execution gateway enforces only 60-second ID dedup and omits the other mandatory order guards.	open/close write directly without cash/1m cap, lot size, positive quantity, daily price limits or >=500k confirmation.	Invalid or oversized orders can be persisted as Filled.	Tests cover dedup only; no tests for the five missing guards.	open	high	60-second dedup itself is correctly present at lines 110-139.
STD-028	2.3 / 2.6 order safety	CRITICAL	src/trading/paper_trade.rs	88-147	Paper evaluation can mark an order Filled when quote data is absent or price/quantity is invalid.	Slippage is skipped when quote_price<=0 and normal path fills at signal.price; no price>0 or lot-size validation exists.	Bad/missing price data can produce apparent executions.	Unit fixtures use valid values and do not assert rejection for zero price/non-lot quantity.	open	high	Explicit violation of fail-closed data and order handling.
STD-029	2.1 account data	CRITICAL	src/trading/paper_trade.rs	149-174	Portfolio state fabricates 1,000,000 total value and 30% cash and skips risk checks on source failure.	Hardcoded total/cash assumptions and (0,0,0) failure return feed pre_trade_check.	Orders may pass risk checks using invented account values.	risk_adapter test permits total_value=0 paths; no real-account reconciliation test.	open	high	AGENTS §2.1 requires real account position/cash/net value.
STD-030	2.1 / 2.6 order safety	CRITICAL	src/trading/paper_engine.rs	92-97,164-186	Sell signal falls back missing quote to average cost, forces quantity to at least 100 without lot rounding, and hardcodes all market-status flags false.	current_price unwrap_or(avg_cost); quantity.max(100); limit/suspension flags false.	Missing market data can become a fabricated executable sell at a non-market price.	Tests are unit-level and do not exercise missing quote against live status.	open	high	Multiple fields jointly create one fabricated execution decision.
STD-031	2.6 schema defense	HIGH	migrations/v12-p0-paper-and-adjust/up.sql	7-23	paper_trades schema lacks CHECK constraints for price>0 and quantity>0/multiple-of-100.	price and quantity are only NOT NULL.	Direct SQL or buggy code can persist invalid paper orders even if application checks are later added.	No migration-level constraint test.	open	high	Defense-in-depth absent for a trading table.
STD-032	2.5 test/live isolation	CRITICAL	src/bin/monitor/main.rs	2080-2120	--test intentionally leaves the environment in production mode.	Comments say --test does not set STOCK_ENV_MODE and default prod is used.	Test execution can access real holdings and bypass the required physical/logical separation.	No test proves test mode rejects real symbols.	open	high	Direct contradiction of AGENTS §2.5.
STD-033	2.5 test/live isolation	CRITICAL	src/bin/monitor/main.rs	6534-6540	E2E path seeds stock_position with a non-TEST_CODE symbol.	SQL inserts code 999999 and *ST_E2E_TEST into the production holdings table shape.	Test artifacts are not identifiable by required TEST_CODE prefix and can contaminate live records.	No production rejection test for this symbol.	open	high	The fixed commit contains this literal SQL.
STD-034	2.7 audit trail	CRITICAL	src/event/dispatcher.rs	129-197	Production AuditDispatcher performs only stdout logging plus an in-memory counter.	Comments state logging is the only side effect; no durable, tamper-resistant store exists.	Push audit evidence disappears with process/log rotation and cannot support five-year traceability.	Tests assert counter increments and stdout path, not durable persistence.	open	high	Literal audit component contradicts AGENTS §2.7 retention/tamper requirements.
STD-035	2.7 audit retention	CRITICAL	src/bin/monitor/push_templates.rs	1680-1753	Dispatcher audit JSONL is ordinary append-only-by-convention storage and is deleted after seven days.	rotate_dispatcher_logs is called with 7 and remove_file deletes older files; writes/errors are ignored.	Critical push decisions are neither tamper-resistant nor retained >=5 years.	No integrity-chain or five-year retention test.	open	high	Seven days is explicit.
STD-036	2.2 / 2.3 bad data	CRITICAL	src/data_provider/sina_provider.rs	89-98,169-180	Sina parser converts malformed prices/volume to 0 and malformed dates to today.	parse().unwrap_or(0.0) and date unwrap_or_else(Local::now).	Corrupt source rows become plausible dated records and can enter computation.	No malformed-row rejection test proving explicit error.	open	high	Direct fabrication rather than blank/warn/error.
STD-037	2.2 / 2.3 bad data	CRITICAL	src/data_provider/baostock_provider.rs	371-382	Baostock K-line parser converts malformed dates to today and numeric fields to zero.	NaiveDate parse fallback and six parse().unwrap_or(0.0) calls.	Bad rows are silently transformed and may distort signals.	No malformed-row rejection test.	open	high	Direct construction of KlineData from fabricated defaults.
STD-038	2.2 / 2.3 missing data	CRITICAL	src/database/repository.rs	57-67	Nullable persisted OHLCV and percentage fields are silently filled with zero.	stock_daily_to_kline calls unwrap_or(0.0) for every core field.	Missing database values become computable market data.	No test requires warning/error on null core fields.	open	high	Violates missing-field rule before computation.
STD-039	2.2 / 2.3 bad data	CRITICAL	src/data_provider/gtimg_provider.rs	410-438	Tencent quote parser defaults malformed price, close, valuation, volume and amount fields to zero.	Multiple parse().unwrap_or(0.0) calls construct RealtimeQuote.	A malformed live quote can look like a zero-price market state instead of failing explicitly.	No malformed-quote rejection test.	open	high	Live quote freshness/safety depends on these fields.
STD-040	2.2 missing data	HIGH	src/data_provider/yahoo.rs	101-171	Yahoo missing quote/index/FX fields are converted to zero and then rendered as flat market conditions.	Quote Options unwrap_or(0.0); missing indexes/FX also default zero and lead to 持平 text.	Missing upstream data is represented as a market fact.	Tests do not distinguish absent data from genuine zero movement.	open	high	Conflates absence with numerical zero.
STD-041	2.2 missing data	HIGH	src/data_provider/rustdx_provider.rs	263-283	Unavailable market cap, turnover, PE and PB are emitted as numeric zero rather than left absent.	Code comments say source lacks fields, then builds RealtimeQuote with 0.0 values.	Downstream scoring can treat missing fundamentals as real zero values.	Network tests only print returned data and are not CI-enforced.	open	high	Known absence is encoded as data.
STD-042	2.1 / 2.3 failure handling	HIGH	src/bin/monitor/push_templates.rs	4393-4438	Real R-02 market review converts fetch/task failures into all-zero market evidence.	Nested unwrap_or(Ok((0,0,0))) and unwrap_or((0,0,0)) feed MarketStageEvidence.	A source outage can be interpreted as neutral market state and pushed.	No failure-path test asserts explicit denial/error.	open	high	Production function is named *_real.
STD-043	2.2 validation	HIGH	src/agent/validation.rs	16-47	Default validators pass when required fact objects or fields are entirely missing.	Both validators only inspect Some(...) and return Ok otherwise.	Reports can claim validation despite absent financial/research facts.	Unit coverage does not require MissingField for absent facts.	open	high	Missing data is not blank/warn/error.
STD-044	2.8 fake validation	MEDIUM	src/agent/validation.rs	50-73	Public opt-in validators are explicit no-op stubs that always return Ok.	ConceptLinkageValidator and DividendTaxValidator implement validate as Ok(()).	Any caller adding them receives false validation assurance.	Default-engine test only proves they are not auto-registered.	open	high	Dormant today, but callable public API.
STD-045	Gate D test quality	MEDIUM	src/decision/exclusion.rs	228-232	Test assertion is tautological and cannot fail.	assert!(map.is_empty() || !map.is_empty()).	Regression in exclusion-map behavior would remain undetected.	The assertion is logically always true.	open	high	No behavioral oracle.
STD-046	Gate D test quality	MEDIUM	src/portfolio/store.rs	316-320	Test assertion is tautological and cannot fail.	assert!(positions.is_empty() || !positions.is_empty()).	Portfolio-store regressions can pass unnoticed.	The assertion is logically always true.	open	high	No behavioral oracle.
STD-047	Gate D test quality	MEDIUM	src/risk/limits.rs	212-216	Risk-limit test assertion is tautological and cannot fail.	assert!(v.is_empty() || !v.is_empty()).	Position-limit regressions can pass unnoticed.	The assertion is logically always true.	open	high	Safety-critical test checks only non-panic.
STD-048	Gate D live data validation	HIGH	src/data_provider/ipo_date.rs	112-116	Real-network IPO-date validation is ignored by default CI.	#[ignore] on the only real network test.	Live data-source behavior is not release evidence.	Ignored test requires manual invocation.	open	high	AGENTS Gate D requires live data validation.
STD-049	Gate D live data validation	HIGH	src/data_provider/mod.rs	359-365	Real fallback-path async/sync validation is ignored by default CI.	Network-dependent integration test is #[ignore].	Production fallback can regress without release detection.	Ignored test requires manual invocation.	open	high	No equivalent non-ignored live test found.
STD-050	Gate D live data validation	HIGH	tests/fallback_post_close_test.rs	36-40	Direct Baostock post-close validation is ignored.	Test is #[ignore].	Fallback availability is unverified in normal gates.	Ignored test requires manual invocation.	open	high	Live source validation absent from CI.
STD-051	Gate D live data validation	HIGH	tests/v11_three_sources.rs	20-93	All three-source consistency/price sanity acceptance tests are ignored.	Three tokio tests carry #[ignore].	Cross-source reconciliation and extreme-gap behavior are not release-gated.	CI workflow does not run --ignored.	open	high	This file describes itself as end-to-end acceptance.
STD-052	2.4 test evidence	HIGH	tests/test_data_freshness_check.rs	28-35	Freshness test requires missing DB to pass instead of treating it as a blocker.	It asserts output.status.success() for /nonexistent/path/fake.db.	Test suite entrenches the unsafe skip semantics.	This test passes only when the violating behavior remains.	open	high	Direct contradiction of strict merge blocker.
STD-053	CLAUDE Completion Rule	HIGH	src/event/push_record.rs	42-46	PushRecord is explicitly reserved for a future PushApplicationService and has no production persistence consumer.	Comment names future boundary; fixed-commit grep finds usages only in its module/tests.	Replay/audit infrastructure is not integrated into a live durable path.	Tests validate serialization only.	open	high	Completion Rule rejects speculative infrastructure without a consumer.
STD-054	2.2 / Completion Rule	HIGH	src/bin/monitor/push_templates.rs	1648-1655	Pre-open news template always supplies an empty news_pairs field despite a TODO to integrate news_monitor.	Builder hardcodes Vec::new; test at line 7780 asserts it stays empty.	Documented news-catalyst content is absent from production output.	Existing test codifies empty integration.	open	high	Concrete code-without-integration gap.
STD-055	2.9 config/code consistency	HIGH	config/strategy.toml	85-94,159-170	Configuration declares multiple fields obsolete because behavior is hardcoded in Rust.	Comments state schedule, cross-source, ST profit/loss and lookback values are hardcoded or unused.	Operators can change config expecting effect while production behavior remains unchanged; spec/config single-source traceability is broken.	Design checker covers only event_risk_score_threshold and cannot detect these fields.	open	high	Self-documented drift in configuration.
STD-056	Gate C / test scope	HIGH	.github/workflows/compliance.yml	20-36	Compliance CI runs a hand-picked subset of integration tests rather than full cargo test.	Command names seven test binaries and omits the rest of tests/ plus all bin tests.	Broken historical features can merge if their test target is outside the allowlist.	Primary ci.yml also runs only --lib.	open	high	AGENTS requires cargo test, not a curated subset.
STD-057	2.1 source failure	HIGH	src/news/aggregator/feed.rs	199-237	Announcement feed converts fetch failure to a successful empty event list.	fetch_announcements(...).await.unwrap_or_default() followed by Ok(events).	Announcement outages silently remove earnings events.	No adapter failure-propagation test.	open	high	Separate production source from the seven wrappers in STD-019.
STD-058	2.6 secondary confirmation	CRITICAL	src/auth/operator.rs	46-88	Operator authentication is opt-in and default-disabled, while no order path implements mandatory secondary confirmation for >=500,000 RMB.	load_auth_config defaults required=false and require_monitor_operator_auth returns Ok when disabled.	High-value order confirmation cannot be guaranteed by the only operator-auth gate.	Tests explicitly assert defaults_false.	open	medium	Auth is not itself the specified secondary-confirm mechanism; this finding records the absence/default bypass as corroborating evidence.
STD-059	2.7 audit error handling	HIGH	src/bin/monitor/push_templates.rs	1688-1712	Audit directory creation and file writes discard errors.	create_dir_all(...).ok() and let _ = write_all(...) suppress persistence failures.	System can continue as if audit succeeded with no trace.	No failure-path test for unwritable audit directory.	open	high	Critical audit failure must be explicit.
STD-060	Gate D / live binary	BLOCKER	CLAUDE.md	61-68	Required live-binary completion evidence is absent from executable CI gates.	CLAUDE requires release monitor build and monitor --test end-to-end path evidence; workflows run neither.	Features can be declared complete without proving the production binary uses them.	No workflow command runs cargo build --release --bin monitor or monitor --test.	open	high	Repository rule, not a claim that local manual evidence can never exist.
STD-061	Gate B / cargo test	BLOCKER	src/bin/v14_e2e.rs	285	The fixed commit fails full cargo test because v14_e2e calls Dispatcher::dispatch with a missing third argument.	Clean archive cargo test --quiet reports E0061: method takes 3 arguments but 2 supplied; Option<&str> is missing.	The repository cannot satisfy the mandatory test gate and the isolated e2e binary is not buildable.	cargo test --quiet: exit 101.	open	high	Reproduced from a clean git archive of the fixed commit.
STD-062	Process tracking / Gate A	HIGH	.gitignore	1-13	Repository ignore rules exclude .github, docs, reports and tools by default even though AGENTS requires all process outputs to be tracked through Git and PR.	.gitignore lines 4, 9, 11 and 13 ignore the directories that hold workflows, reports, architecture/spec documents and compliance scripts.	New mandatory evidence and checks can remain workspace-only unless force-added, so a local-looking completion state need not exist in the audited commit.	No gate asserts that newly created process outputs are tracked rather than ignored.	open	high	Existing force-added files do not remove the default exclusion for future outputs.
STD-063	2.4 operational freshness	HIGH	deploy/grafana_dashboard.json	132-162	Operational dashboard is configured around a 60-second quote-provider TTL and refreshes only every 30 seconds, inconsistent with the mandatory 5-second realtime-quote freshness target.	Panel 6 is titled QuoteProvider current price (60s TTL); dashboard refresh is 30s and exposes price without a quote-age/freshness alarm.	Operators cannot use this dashboard to detect or enforce the 5-second stale-quote red line.	No dashboard/config test asserts a 5-second freshness alert.	open	high	Monitoring evidence corroborates the production quote fallback/freshness findings.
