path	candidate_count	checkbox	action	status	action_heading	table_row
.planning/2026-07-16-quant-platform-assessment/findings.md	6	0	5	1	0	1
.planning/2026-07-16-quant-platform-assessment/progress.md	8	0	0	8	0	6
.planning/2026-07-16-quant-platform-assessment/task_plan.md	17	16	0	1	0	0
.superpowers/sdd/base.txt	0	0	0	0	0	0
.superpowers/sdd/final-review.md	51	0	26	32	3	28
.superpowers/sdd/progress.md	12	11	0	2	0	0
AGENTS.md	56	0	46	15	12	4
CHANGELOG.md	66	15	17	40	1	0
CLAUDE.md	26	0	21	8	2	1
IMPROVEMENTS_SUMMARY.md	40	8	24	23	7	8
README.md	56	0	52	5	1	19
docs/CHANGELOG-v9.4.md	51	0	32	22	2	5
docs/EMQuantAPI_CPP_Mac.pdf	0	0	0	0	0	0
docs/ENGINEERING_RULES_V2.md	52	0	50	6	9	0
docs/KNOWN_BUGS-2026-06-28.md	50	0	50	0	7	16
docs/README.md	11	0	11	0	0	11
docs/_archive/pre-v9-history/README.md	9	0	9	1	0	8
docs/_archive/pre-v9-history/architecture-overview-2026-06-16.md	19	0	17	7	0	1
docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	26	0	24	2	1	15
docs/_archive/pre-v9-history/architecture-v3-2026-06-15.md	31	0	22	10	1	6
docs/_archive/pre-v9-history/architecture-v4-2026-06-16.md	22	0	18	4	0	14
docs/_archive/pre-v9-history/architecture-v5-2026-06-16.md	9	0	9	1	1	2
docs/_archive/pre-v9-history/architecture-v5.1-2026-06-16.md	24	0	24	2	5	3
docs/_archive/pre-v9-history/architecture-v6-2026-06-16.md	2	0	2	0	2	0
docs/_archive/pre-v9-history/architecture-v7-2026-06-16.md	52	12	42	12	4	24
docs/_archive/pre-v9-history/plans-README.md	7	0	3	5	0	5
docs/_archive/pre-v9-history/v3-project-plan-2026-06-15.md	29	0	14	15	3	22
docs/_archive/pre-v9-history/v4-project-plan-2026-06-16.md	32	0	13	22	4	28
docs/_archive/pre-v9-history/v5-project-plan-2026-06-16.md	10	0	4	6	3	7
docs/_archive/pre-v9-history/v6-project-plan-2026-06-16.md	4	0	1	4	0	4
docs/analysis-2026-06-29-project-audit.md	74	0	69	5	13	17
docs/architecture/v12-e2e-real-push-2026-07-05.md	38	0	21	20	6	21
docs/architecture/v12-monitor-test-2026-07-05.md	49	0	39	10	8	6
docs/architecture/v12-mvp-progress.md	36	0	23	15	1	18
docs/architecture/v12-mvp0-acceptance-2026-07-05.md	52	0	27	33	2	25
docs/architecture/v12-push-uncertainty-notes.md	45	0	45	5	18	0
docs/architecture_p0_risk_unification.md	69	0	59	13	14	26
docs/business_rules.md	52	0	24	41	1	50
docs/code_review_p0_risk_unification.md	26	10	21	2	3	5
docs/crontab.example	2	0	2	0	1	0
docs/emquant-api-integration-plan-调研-2026-06-05.md	48	0	35	17	5	21
docs/monitor-runs/2026-06-30/sandbox-blocked.log	20	0	20	0	0	3
docs/operations/broker-api-integration.md	18	0	16	2	3	3
docs/operations/v13-push-templates-deployment.md	27	0	20	8	12	12
docs/operations/v13-release-notes.md	25	12	12	4	1	1
docs/operations/v13.10.1-release-notes.md	19	0	11	9	3	6
docs/p0-4-done.md	48	12	35	4	4	13
docs/p0-5-done.md	63	11	52	7	7	14
docs/p0-5-plus-done.md	40	0	35	5	4	15
docs/p0-5-plus-v2-done.md	64	0	61	3	4	19
docs/p0-5-plus-v3-done.md	39	0	38	6	6	6
docs/p0-5-plus-v4-todo.md	32	0	32	2	7	2
docs/project_plan_p0_risk_unification.md	146	106	31	21	11	9
docs/review-output-diagnosis-codex.md	92	26	72	26	10	19
docs/root-causes/E-multi-agent-bypass-freshness.md	50	23	25	11	6	6
docs/root-causes/F-tool-silent-fallback.md	66	19	58	3	8	7
docs/root-causes/G-no-fast-fail.md	68	22	44	11	7	8
docs/root-causes/README.md	28	0	26	5	5	11
docs/sina_baostock_integration.md	21	0	21	1	0	9
docs/superpowers/plans/2026-06-28-event-extractor.md	69	26	57	1	5	3
docs/superpowers/plans/2026-07-06-v13-push-templates-impl.md	162	90	78	10	13	15
docs/superpowers/plans/2026-07-07-v29-d01-dispatcher.md	54	21	30	7	3	10
docs/superpowers/plans/2026-07-08-qmt-integration.md	76	44	21	26	0	1
docs/superpowers/plans/2026-07-08-sina-baostock-integration.md	118	72	35	33	4	4
docs/superpowers/plans/2026-07-11-v13-push-templates-remediation.md	77	0	71	9	15	24
docs/superpowers/plans/2026-07-16-remove-openai-config-plan.md	51	39	8	6	1	1
docs/superpowers/plans/2026-07-16-v17-r2-a-event-seam.md	39	25	3	11	0	0
docs/superpowers/plans/2026-07-16-v17.3-persistence-query.md	49	28	9	12	3	0
docs/superpowers/plans/2026-07-16-v17.7-source-pushes.md	75	48	9	20	2	1
docs/superpowers/plans/compressed-wondering-parasol.md	45	0	38	12	5	11
docs/superpowers/plans/radiant-frolicking-starfish.md	22	0	22	0	4	7
docs/superpowers/plans/refactored-meandering-bird-agent-aa580bbef2a2358a9.md	18	0	13	6	4	1
docs/superpowers/plans/refactored-meandering-bird.md	33	0	33	0	10	5
docs/superpowers/plans/unified-cooking-tulip-agent-a893df278aa4ff06a.md	1	0	0	1	0	0
docs/superpowers/plans/unified-cooking-tulip.md	38	0	32	9	11	6
docs/superpowers/specs/2026-06-29-process-discipline-design.md	70	11	51	13	5	20
docs/superpowers/specs/2026-07-06-v13-push-templates-audit.md	90	0	33	70	1	69
docs/superpowers/specs/2026-07-06-v13-push-templates-design.md	146	0	110	41	22	96
docs/superpowers/specs/2026-07-06-v13-push-templates-impl-log.md	9	0	7	2	1	7
docs/superpowers/specs/2026-07-06-v19-14-push-template-refactor-design.md	32	9	19	7	5	4
docs/superpowers/specs/2026-07-06-v19-15-push-simplify-design.md	28	6	16	8	4	1
docs/superpowers/specs/2026-07-06-v19-16-remove-demo-data-design.md	27	7	16	7	7	0
docs/superpowers/specs/2026-07-07-d01-dispatcher-design.md	42	0	32	17	5	4
docs/superpowers/specs/2026-07-08-qmt-integration-design.md	26	7	19	2	5	7
docs/superpowers/specs/2026-07-08-sina-baostock-integration-design.md	62	11	44	9	15	15
docs/superpowers/specs/2026-07-16-remove-openai-config-design.md	3	0	3	1	0	0
docs/superpowers/specs/2026-07-16-v17-event-infrastructure-and-data-sources-design.md	21	0	18	4	0	1
docs/v10/README.md	1	0	1	0	0	0
docs/v10/v10.0-2026-07-01-brainstorming-intraday-monitor-review.md	109	0	96	26	11	48
docs/v10/v10.0-2026-07-01-grill-with-docs-findings.md	64	0	64	0	6	8
docs/v10/v10.0-2026-07-01-progress-working.md	95	21	67	26	7	1
docs/v10/v10.0-2026-07-01-writing-plans-implementation.md	82	47	54	4	8	11
docs/v10/v10.0-2026-07-01-writing-plans-task-plan.md	101	58	61	11	8	5
docs/v11-grill-decisions.md	38	0	38	0	3	11
docs/v11-grill-决策索引-2026-07-04.md	38	0	38	0	3	11
docs/v11-p0-4-持仓决策台-完成-2026-07-03.md	48	12	35	4	4	13
docs/v11-p0-5-plus-v2-收尾-2026-07-04.md	64	0	61	3	4	19
docs/v11-p0-5-plus-v3-收尾-2026-07-04.md	39	0	38	6	6	6
docs/v11-p0-5-plus-v4-后续留事项-2026-07-04.md	32	0	32	2	7	2
docs/v11-p0-5-plus-候选筛选台-完成-2026-07-04.md	40	0	35	5	4	15
docs/v11-p0-5-候选筛选-完成-2026-07-03.md	63	11	52	7	7	14
docs/v11/README.md	21	0	21	0	2	14
docs/v11/v11.0-2026-07-02-diagnosing-bugs-caliber-rootcause.md	34	0	32	2	9	6
docs/v11/v11.p01.p02-2026-07-02-brainstorming-design-v1.md	29	0	28	1	8	4
docs/v11/v11.p01.p02-2026-07-02-brainstorming-design-v2.md	73	0	69	10	13	11
docs/v11/v11.p01.p02-2026-07-02-implement-completion.md	55	17	34	8	5	2
